ID,Tweet,Class
9.62725352840757E+017,هؤلاء يجب أن نتركهم خلفنا ونتقدم نحو الرؤيه الوطنيه الواعده لأن هؤلاء هم من يعيق التغيير للأفضل .,N
9.62725347304329E+017,هذا حصل في الجامعات المتقاربه و أثبتنا ذلك . . شدلي و اقطعلك . .,/
9.62724650680807E+017,تجاوزنا السؤال الساذج : هل توظيف الأقارب في الجامعات تم وفق منافسات عادله أم لا ؟ ؟ السؤال في عهد الحزم هو : متى ستتم محاسبتهم ؟ ؟,N
9.62723520768856E+017,لو تم التوظيف بنزاهه وبحسب الاحتياج و بناء على منافسه عادله بين جميع المتقدمين لوجدنا الدكتور يعمل في جامعه في الشرقيه و ابنه المعيد المتفوق في آحدى جامعات الجنوب . . هذا هو المنطق . .,/
9.627235177699E+017,ذوو الواسطات غير مستحقين . . يسهل التلاعب بدرجات الاختبارات والمقابلات الشخصيه . . وحتى المعدلات الجامعيه ؛ فمن يتم دعمه للحصول على وظيفه في نفس الجامعه لن يصعب دعمه للتفوق في المقررات و الحصول على معدل عالي .,N
9.62721443959144E+017,لم ندرس تخصصات مختلفه إلا بموافقه الوزاره وتحت إشرافها . . ومعظم من تم رفضهم بهذا الشرط تخصصاتهم متقاربه جدا . . والمسأله خلافيه وتخضع لوجهات النظر فالبعض يعدها إمتداد و البعض لا,/
9.62721440138236E+017,هذا الشرط المبتكر لا يعد عيبا في التأهيل و لا يقلل من مستوى الكفاءه . . قد يكون غير ممتد التخصصات مميز في مجاله أكثر من الممتد . . فلماذا يحرم غير ممتد التخصص من الدخول في المنافسه الوظيفيه من الأساس ؟ ؟,N
9.62721436384232E+017,هذا الشرط لا ينطبق عليهم ولا على أقاربهم ممن وظفوهم في الجامعات و لا على الأساتذه الوافدين . . حتى ولا على بعض العلماء و الخبراء في مجالاتهم !,N
9.62718902013891E+017,لاتنسون اهل الماجستير فهم لايكاد يذكرون   ولاتنزل لهم وظائف,/
9.62716892900282E+017,د . العوده : كثير من الجامعات الأجنبيه تختار الأكفأ بغض النظر عن الجنسيه .,/
9.62716670061138E+017,د . العوده : ازدواجيه الشروط وتطبيقها على المواطنين دونا عن الوافدين . . حرموا البلد من هكذا كفاءات ( ليش ؟ ! ! ),N
9.62716077611364E+017,د . فيصل : عاطل منذ سنوات و أحمل دكتوراه في الطاقه المتجدده   تقدمت لجميع الجامعات ووجدت أن شرط إمتداد التخصص لا يطبق إلا على السعودي وهناك وافدين بتخصصات متباعده ! !,N
9.62715640804069E+017,د . فيصل : تخصصي نادر ولا يدرس في البكالوريوس ورغم ذلك يرفضونني بسبب إمتداد التخصص ! ! يستحيل أن يجدوا أحد ممتد التخصص في مجالي ! !,N
9.62715254349287E+017,د . العوده : توظيف الأقارب في الجامعات لم يعد سرا و الجهات الرقابيه أكدته .,N
9.62715022374957E+017,د . العوده : من ي قي م من ؟ أنا اقترح أن يكون هناك لجنه مركزيه للتوظيف بمشاركه عضو من خارج الجامعه .,N
9.62714177981821E+017,د . العوده : هناك من يحمل مؤهل لكن لا يستحق العمل الأكاديمي و ممارسات التوظيف قد لا تفرز الأفضل .,N
9.62713512274485E+017,من التقرير : هل ما زلنا بحاجه للتعاقد مع أعداد كبيره من الأساتذه الأجانب في وجود عاطلين من حمله المؤهلات ؟,N
9.62713323505639E+017,من التقرير : لم يغادروا مناصبهم إلا بعد أن ورثوا أقاربهم الوظائف .,N
9.62712104523522E+017,بعد قليل ستوديو الإخباريه يناقش,/
9.62707231174218E+017,البث المباشر للاخباريه على اليوتيوب,/
9.62703957612167E+017,جابوا لنا الهم و الغم .. متى نتوظف بشهاداتنا,N
9.62703955569643E+017,بحسب النظام . . النظام الذي بقي حبر على ورق لسنوات طويله . .,N
9.62690661718921E+017,و كذلك لا ننسى الذين تعلموا و كافحوا بالعمل بالقطاع الخاص و كافحوا أيضا للحصول على الشهادات العليا عن طريق الإنتظام و الحضور بالجامعه و لكن ما زالوا للأسف بدون اي تقدم في السلم الوظيفي من جهه العمل   فأقلها أعطوه الدرجه المستحقه كأي جامعي إستقطبه القطاع الخاص   فعلا نحتاج للتطوير .,N
9.62683906314134E+017,ياربي ان التوفيق و الفرج لكل من يحتاج وظيقفه,P
9.6268389530828E+017,امين ملينا من المطالب,N
9.62683884549886E+017,ياارب وفقنا,P
9.62683866426339E+017,الله يفرجها من عنده ويبشرنا جميعا بما يسرنا 💜,P
9.62683841201795E+017,اللهم افرح قلوبهم وسهل امورهم واسعدهم في الدارين يا ارحم الراحمين,P
9.62656926143336E+017,يارب فرج قريب 💔 هلكنا من النكران,N
9.62656913673638E+017,الله يوفقكم ويجعلها سبب في الفرج ياكريم 💚,P
9.62587985228202E+017,بانتظاركم الله يوفقكم ويكون الظهور سببا لانفراج أزمتنا و ربي يسعدنا جميعا,P
9.62558525640766E+017,حاجه تغبن لاتنسون اهل الماجستير فهم لايكاد يذكرون   ولاتنزل لهم وظائف,N
9.62557657163944E+017,كم فرصه عمل تطرح سنويا لحمله الماجستير سواء في القطاع الحكومي أو الخاص ؟,N
9.62556955733692E+017,ال١٠ أو الف وظيفه التي تستكثرها على الشباب السعودي . . يجب أن يشملها التوطين . . والشباب السعودي الطموح  والمؤهل من حقه أن يطالب بتوطينها ايضا دون أن يتهمه من هم مثلك بالتعالي و التكبر  . .,N
9.62556550614258E+017,نتعب ونتغرب في الخارج ونعود لنتفاجىء بعدم ترقيتنا على الرتبه المناسبه في قرار تعسفي ضدنا من الجامعات ,N
9.62556227665396E+017,لما توصل الى درجه الاهانه و الغلط على بعض ,N
9.62556021385454E+017,حب لاخيك ما تحبه لنفسك خلك اكثر ثقه و تفاءل ,P
9.62552881634308E+017,صباحك أمل وتفاؤل . . أسعد الله أيامك,P
9.62552289251811E+017,أسأل الله أن يرزقنا,P
9.62552278191428E+017,يارب احد يسمع لنا وربي يكتب للي فيه الخير . . عاطله ماجستير,N
9.62540549185135E+017,شكرا لمبادرتك . . اكتفينا,P
9.62540427365712E+017,اللهم آمين . . ما ادري ايش أرد عليك والله ♥ ️ بس الله يكرمك بأضعاف نواياك الطيبه ونبل أخلاقك د . جهان . .,P
9.62539807086908E+017,موفقين أن شاء الله . . . قلبي معكم يدعو لكم ليل نهار بأن يجعل الله أحزانك أفراح ويرزقكم من حيث لا تعلمون كل ما تتمنون . . فرج الله قريب . .,P
9.62533961313472E+017,الليله إن شاء الله على الهواء مباشره في برنامج ستوديو الإخباريه عند الساعه م,/
9.62447476170084E+017,. . سيعلن عن الوظائف في موقعهم الرسمي مثل كل سنه لمن ينشروا نتائج الشباب . . وقالوا للبنات أيضا سيكون هناك اعلان لأسماء المرشحات في الصحف . . مجلس الشورى قبل اسبوع طالب وزاره العدل بسرعه توظيف النساء اي انه لم يتم الاعلان بعد . . . ان شاء الله الاعلان الاسبوع القادم,/
9.61964441481957E+017,وظائف استقطاب لحمله الدكتوراه من خريجي برنامج الابتعاث في التخصصات العلميه والطبيه والإنجليزي وإداره الأعمال والحاسب بجامعه الملك خالد .,/
9.61964133066342E+017,مافيه اي شفافيه من قبل الوزاره . غموض واسئله كثيره تدور حولهم لكن مالقينا منهم الا الطناش وردودهم غامضه . مافيه اي معلومات ع اساس المفاضله,N
9.61964043341844E+017,ماهو المعيار الذي تم على أساسه اختيار ال موظفه ؟ ؟ معدل عالي أم خبرات أم لغه انجليزيه أم دورات أم بحوث منشوره ؟ ؟ ماهو المعيار ؟ ؟,N
9.61964021825069E+017,على حد قول الموظف تم توظيف سيده     أنا مستغرب ه كيف تم التوظيف ول م ت علن النتائج ؟ وأين المسابقه الوظيفيه ؟ ؟,N
9.61963885438931E+017,الف الف مبروك 🌹,P
9.61677130676539E+017,استغفالنا و قهرنا الى متى .. وأنا كذلك     اتصل على سنترال الوزاره كل يوم لا م جيب     اليوم رد علي موظف ويقول نزلت الوظائف     ارسلي اهم سجلك المدني 🤐,N
9.61677105879769E+017,😶 متى هذا الكلام كل يوم في الصبح اشيك ع الموقع والى اليوم مافي اي اعلان ! ! !,N
9.6167709787283E+017,كلامك صحيح   الى الان ونحن ننتظر ! ! الى متى ! !,N
9.61676998493049E+017,كل شي من الله خير و رحمه يؤخرنا الله لحكمه يعلمها ولا نعلمها . .,P
9.61676760277504E+017,قبل خصخصه المؤسسات والتحول إلى عقود التوظيف يجب تجريم الواسطه وتطبيق عقوبات راادعه لأننا في عهد الحزم والتغيير,N
9.61655887856271E+017,مالم يتم الإستفاده الكامله من الكوادر المؤهله وتأهيل البقي ه فإن الحلول الوقتيه مجرد ترحيل للمشكله وخلق بطاله مقن عه . . ولا تكون الإستفاده الكامله إلا بوضع كل شخص في مكانه المناسب فإن للتعليم أهله وللتجاره أهلها وللصناعه أهلها . .,N
9.61652756879725E+017,جامعاتنا صارت مصانع للبطاله . . تخرج عاطلين بأضعف مستويات التأهيل و في تخصصات غير مطلوبه . . حان وقت التغيير . .,N
9.61652292201144E+017,إن لم يعمل كل مؤهل فيما تم تأهيله له . . فما الجدوى من التعليم والتخصصات . . سيذهب كل ما صرف على التعليم طوال السنوات الماضيه هباء . .,N
9.61651569241575E+017,قبل خصخصه المؤسسات والتحول إلى عقود التوظيف يجب تجريم الواسطه وتطبيق عقوبات راادعه لأننا في عهد الحزم والتغيير,N
9.61651302840394E+017,مشكلتنا ليست ( قله فرص العمل ) إنما ( تفضيل الوافدين و ذوي الواسطات ),N
9.61650230105174E+017,تقسيم العاطلين إلى فئات حسب مؤهلاتهم وتخصصاتهم و العمل على إزاله ما يعيق توظيفهم في مجالاتهم المناسبه . . و ( ( إجبار ) ) المؤسسات على التعاون وتدريب الشباب وتوظيفهم . . لا عذر لأي مؤسسه في تفضيل الوافدين .,N
9.61649119768056E+017,الزج بالعاطلين بمختلف مؤهلاتهم وتخصصاتهم في سوق التجزئه ليس حلا . . إنما هو أقرب مخرج لخفض النسبه في أسرع وقت . . الحل في نظام توظيف يضع كل ترس من التروس في مكانه المناسب لتتقدم عجله التنميه . العطلون بشر وليسوا مجرد أرقام .,N
9.61648457080598E+017,أن تساهم كل الجهات سواء حكوميه أو خاصه في حل الأزمه و تتحمل جزء من مسؤوليه توظيف العاطلين . . لأن أساس المشكله أن كل جهه ترمي بالمسؤوليه على الآخرى .,N
9.61621236441911E+017,لم يتم الإعلان إلى الآن     لايوجد أي شيء يخص الوظائف النسوي ه على موقع الوزاره حتى هذه اللحظه     لم ي نشر أي شيء في الصحف .,/
9.61617064749359E+017,موظف سنترال وزاره العدل يقول النتائج ظهرت     أين هي ؟ ؟,N
9.61617049398149E+017,متى سيتم إعلان نتائج الوظائف النسويه التي طرحتها وزاره العدل مؤخر ا عن طريق المسابقه الوظيفيه ؟ ؟ حاولنا التواصل أناوالزميلات كثيرا مع وزاره العدل لمعرفه موعد اعلان النتائج ولكن للأسف لا مجيب     لا أعرف لماذا التكتم ؟ لماذا لم ت علن النتائج ؟ أين المسابقه الوظيفيه ؟ ؟,N
9.61607765478298E+017,الاستفاده من الكفاءات الوطنيه المعطله أو المهجره أولى من لدينا شباب مميز في مختلف المجالات تنقصهم بيئه داعمه و محفزه . . بيئه التعليم بالتلقين والتوظيف بالواسطه دفنت قدراتهم ! !,N
9.61373617576702E+017,الاستفاده من الكفاءات الوطنيه المعطله أو المهجره أولى من لدينا شباب مميز في مختلف المجالات تنقصهم بيئه داعمه و محفزه . . بيئه التعليم بالتلقين والتوظيف بالواسطه دفنت قدراتهم ! !,N
9.61317020871594E+017,كل المقررات بحاجه لإعاده نظر و تطوير لتحقق أهداف التعليم العالي . . نحتاج إلى تحول من ( الملخصات ) إلى مناهج تبني العقول وتحرر التفكير . .,N
9.61315550327726E+017,شوفوا . . فكره نوصل اصواتنا للمسولين و ربي يفرجها ان شاء الله خلكم واثقين بالله :,P
9.6129862884436E+017,حتى المبتعثين لا مكان لهم,N
9.61298540860445E+017,أتمنى تتصفحي هذا الحساب أخت ماري لتعرفي إلى أين وصل استهتار المسؤولين ببطاله الشباب !,N
9.61298529821057E+017,استغرب صمت وزيري التعليمي والصحه عن الجامعات والمستشفيات والمؤسسات العامه التي تندرج تحت ادارتهم . اتفهم تعيينكم للاطباء الاجانب بسبب العجز عندنا في الاستشاريين والتمريض . لكن ان توظف اداريين ومحاسبين واكاديميين اجانب والسعوديين متكدسين في البيوت عاطلين .,N
9.61298479070007E+017,غريبه ! طيب أنت تربويه من الأساس فيكف ما يتعتبر إمتداد ؟ ! ومن يدرس التخصصات التربويه ماجستير ودكتوراه إذا ما درسها التربويون ؟ ! 🙁,N
9.61298217282437E+017,أخشى ماأخشاه أن تجنيس الكفاءات يصير مخرج للخرفنه والعلاقات والصداقات والمحسوبيات تجنيس تحت بند الكفاءات مثل الكويت نص الفنانين تجنسوا تحت بند الأعمال الجليله ! هذه مثلا مذيعه ب تتحدث عن زملائهاالسعوديين بأنها متفضله عليهم و هي اللي دربتهم هل هذه كفاءه تستحق التجنيس ؟,N
9.61298152212128E+017,السعوديه في السنوات المنصرمه نفذت أكبر برنامج ابتعاث و شحنت مئات الآلاف للدراسه في الخارج   هل لازلت تعتقدون بأن حامل الشهاده العليا عمله نادره يستحق أن يتم تلقفه و اعطائه ( شرف الانتماء ) جنسيه ؟ ! ! ! عندنا مبتعثين و خريجي ماستر و دكتوراه عاطلين   من لهؤلاء ؟,N
9.61298149229957E+017,هذولا أولى حنا عندنا خريجين بشهادات عليا عاطلين بل عندنا كفاءات مهاجره خصوصا في المجال الطبي,N
9.60965065066385E+017,كل المقررات بحاجه لإعاده نظر و تطوير لتحقق أهداف التعليم العالي . . نحتاج إلى تحول من ( الملخصات ) إلى مناهج تبني العقول وتحرر التفكير . .,N
9.60931896250204E+017,أين البوابه الوطنيه الموحده للتوظيف التي نسمع عنها منذ سنوات ؟ ؟,N
9.60923868574646E+017,اللهم آمين 🙏 🏼,/
9.60915468419785E+017,خفض النسبه ليس الهدف . . الاستفاده مما تم تأهيلهم له و توظيف قدراتهم في مجالاتهم ووضع كل شخص في محله المناسب هو الهدف . . العاطلون بشر وليسوا مجرد أرقام . . شباب بطموح و قدرات وميول . . لا تدفنوا أحلام الشباب . .,N
9.60915457921487E+017,لحل البطاله ينبغي تقسيم العاطلين إلى فئات و البحث في معوقات عمل كل فئه و إزالتها . . . التوطين العشوائي والزج بجميع العاطلين بمختلف تخصصاتهم ومؤهلاتهم في قطاع التجزئه ليس الحل المناسب والوحيد . .,N
9.60915020287705E+017,اللافت في الأمر أنهم استفادوا من خطأ نشر أرقام السجل المدني للمرشحين . . واكتفوا بنشر أرقام منه فقط حتى لا يتمكن أحد من التحقق من درجاتهم في موقع قياس ! !,N
9.60915001723818E+017,نفس الجامعه التي رشحت المحاضره شقيقه الوكيل . . وجدنا اسم شقيقتهم الثانيه ضمن إعلان المعيدات المرشحات . . وكلله بما يرضي الله وحسب النظام ✋ 🏼,N
9.6091497855862E+017,أحدى الجامعات    الناشئه    التي أعلنت عن شواغر قبل أشهر . . نشرت أسماء و أرقام من عينتهم    على غير العاده    . . ولكن    كالعاده    . . و    بالصدفه    . . أحداهن كانت أخت وكيل الكليه للجوده والتطوير وبعد البحث برقم سجلها المدني في قياس وجدنا أن معظم المتقدمات يتفوقن عليها ! !,N
9.60914924892512E+017,و الشارع ليس حل يجب اتخاذ قرارات بما يتناسب مع المصلحه العامه ليكون الجميع راضي و سعيد . .,P
9.60914853803241E+017,العاطلون من حمله الماجستير والدكتوراه خريجي الجامعات المحليه لا مكان لكم . . لا في القطاع الخاص ولا الحكومي . . مهما بلغ الواحد منكم من مستويات الكفاءه و التميز . . ولازالت الجامعات المحليه تفتتح برامج للدراسات العليا وتخرج المزيد من العاطلين . .,N
9.6091464371474E+017, عاطلات كليات التربيه - المهندسون - التربيه الخاصه العاطل ليس فاشل أو متعالي  العاطل ضحيه لسوء التخطيط أو فساد التوظيف ,N
9.60894938169987E+017,طاشكندي : المفترض أن لاتستمر الجامعات بالبحث عن مراتب متقدمه على حساب الواقع الحقيقي .,/
9.60894075716108E+017,فيديو | يعقد مقارنه بين والعالميه في التصنيفات والاستقلاليه .,/
9.60892424087368E+017,التعليم بدون توظيف استثمار فاشل . . الدوله صرفت ثرواتها على تعليمنا و استثمرت فينا و هناك من يضع الحواجز والعقبات ويعيق توظيفنا ! !,N
9.60890740376293E+017,مايعتبرونه امتداد انا وزميلتي تخرجنا من كليه التربيه قسم الكيمياء في الماجستير انا درست تخصص الكيمياء وهي الاداره التربويه تخرجنا و عدنا للوطن انا لم أتوظف بحجه البكالوريوس التربوي وهي بحجه امتداد التخصص ! وحسبي الله ونعم الوكيل على من عطلنا وتسبب في بطالتنا وفضل الوافدين علينا,N
9.60643965228929E+017,غريب وضع الاجنبي الغيره ذابحته,N
9.60642172755366E+017,السعوديه بلاد الكرم و الجود و بلاد الانصاف,P
9.60642036910166E+017,التعليم بدون توظيف استثمار فاشل . . الدوله صرفت ثرواتها على تعليمنا و استثمرت فينا و هناك من يضع الحواجز والعقبات ويعيق توظيفنا ! !,N
9.60641330308317E+017,يارب,/
9.60641269738496E+017,وانا منهن معي بكالوريوس من كليه التربيه وماجستير تربوي ولازلت عاطله من سنه,N
9.60641255087763E+017,طالما خريجه تربيه ودرست ماحستير تربيه هذت يعتبر إمتداد ولا يضرها أبدا,/
9.60618095646773E+017,حتى اذا كان الماجستير امتدادا للتخصص يعتبرون بكالوريوس كليه التربيه نقصا وسببا قويا للرفض,N
9.60605151991141E+017,: ماذا لو . . ؟ تمهيد أساسي لعلاقه ناجحه * التعليقات صارت متاحه بدون تسجيل,/
9.60604446123229E+017,مطلوب شباب خريجين تخصص إداره اعمال للعمل بالجبيل الصناعيه . اللي عنده رغبه يراسلني خاص .,/
9.60587634228818E+017,اشكرك . . دعواتك,P
9.60578663522669E+017,نسبه كبيره من هن من الخريجات القديمات من كليات التربيه . . ورغم التفوق تبقى عاطله لسنوات طويله . . والسبب . . . بكالوريوس كليه تربيه وماجستير بتخصص تربوي . .,N
9.60578175704207E+017,عاطلات كليات التربيه - المهندسون - التربيه الخاصه العاطل ليس فاشل أو متعالي . . العاطل ضحيه لسوء التخطيط أو فساد التوظيف .,N
9.60577144220017E+017,نحتاج إلى متطوعين للظهور في برنامج تلفزيوني شهير من أي مدينه في المملكه . . للتفاهم راسلونا على الخاص . .,/
9.60564846990365E+017,هذه علي . . أي احد يطلع اكون كاتبتله النقاط ومحضرته للظهور الاعلامي .,/
9.60558641710534E+017,أي جنس . . الموضوع عن التوظيف الاكاديمي,/
9.60558556280951E+017,ارسل رقم جوالك خاص,/
9.60555500004893E+017,مو مشكله عندهم استوديوهات في كل المدن .,/
9.60554581683032E+017,نحتاج إلى متطوعين للظهور في برنامج تلفزيوني شهير من أي مدينه في المملكه . . للتفاهم راسلونا على الخاص . .,/
9.60554319379685E+017,مؤلم وحنا نشوف الفاشلين يحصلون على وظائف ومعطلين العمل والتطوير وغيرهم يستحق !,N
9.6036652282384E+017,هل تعتقد ان المسؤولين يعلمون ان التدريب في المستشفيات وصل الى الاف   نفسيا أ رهقت لاتعليم يقبل فيني والصحه تريد ان ادفع هذا المبلغ واذا مر سنه ماتوظفت اجدد بمبلغ مالي و انا عاطله من وين اجيب لا الماستر وظفني ولا البكالريوس اي احد يقرا كلامي ارجو ان يدعي لي لعل احدهم مجاب الدعوه,N
9.60366473817526E+017,اللهم آمين . .,/
9.60366432205836E+017,ياارب صابني الاحباط كل يوم استيقظ من النوم انتظر خبر يفرحني لكن للاسف لا جديد تعبت و رب البيت ياارب ارزقني انا وإخوتي فرحه نبكي منها وسخر لنا من خلقك من يقوم على قضيتنا ويتخذ قرارا حاسما في وضعنا,N
9.60261000514691E+017,ندا الزهراني وإبداع جديد . . تمهيد أساسي لعلاقه ناجحه,P
9.60238346684502E+017,شكرا للشورى الجديد . .,P
9.6023064527555E+017,زيروو مهنيه . .,N
9.60226430096495E+017,غش عيني عينك مطلوب مدير مدارس خاصه بالسعوديه الشروط : الجنسيه لبناني أو أردني مواقع التوظيف بدأت تخفي أسماء الشركات الطالبه للموظفين الأجانب بعد حملات السعوديين عليها,N
9.60226413738685E+017,اتوقع يبون اهل الماجستير والدكتوراه يشتغلون هالوظائف   اوه لا لحظه طالبين خبره سنتين ! !,N
9.60226376044425E+017,اسلوب سيء غير مهني وبعدين الغريب في الموضوع انهم مسويين تتبع عن المرشحه كيف كذا 🤔 ؟,N
9.60178971592856E+017,خالد عباس طاشكندي : « الهياط » الأكاديمي,N
9.60178383593398E+017,وظائف لخريجي الابتعاث من حمله الماجستير و الدكتوراه كليه أهليه في المنطقه الشرقيه دوام كلي و جزئي - محاسبه : رجال ونساء - إحصاء : رجال ونساء - ماليه : نساء - كيمياء : رجال ونساء - لغه إنجليزيه : رجال ونساء * ولامانع من إرسال بقيه التخصصات وسنتواصل معهم وقت الحاجه .,/
9.60176528595222E+017,هل هذا الرد من بريد الكتروني رسمي للجامعه ؟ أو لشخص له صفه رسميه بالجامعه ؟ ؟,/
9.60175144324031E+017,وراه ماتوظفون العاطلين الي معهم شهادات عليا بمكانهم بس مااتوقع تسوون شي ! !,N
9.58795903518826E+017,نتعب ونتغرب في الخارج ونعود لنتفاجىء بعدم ترقيتنا على الرتبه المناسبه في قرار تعسفي ضدنا من جامعه الجوف,N
9.58786502762353E+017,أعلنت شركه الاتصالات عبر موقعها الإلكتروني عن توف ر شاغره للخريجين الجدد لحم له درجه البكالوريوس ودرجه الماجستير في عدد من التخصصات للعمل بفروع الشركه في العاصمه,/
9.58755524144697E+017,فعلا الرسايل اللي زي كذا تعكر المزاج 💔 . . هذي امس,N
9.58755510114714E+017,عجزت اتخطى هالرساله   لعل غلطها بالرقم يكون سبب في رزقها بشيء افضل . . بكالوريوس فيزياء هي بعفيف لكن عادي تداوم بالدوادمي اتمنى منكم النشر والمساعده,N
9.5875540463222E+017,وظيفه . .,/
9.58754807690523E+017,الوظائف المطروحه للبكالوريوس . . لا مكان لكم . .,/
9.58754375475909E+017,المبدع الطموح يفتقر للفرص . .,N
9.58445104246743E+017,s              سوق الهمل    ⁧ ⁩ ⁦ ⁩ ⁧ ⁩,N
9.58444684275343E+017,في,/
9.58434022421647E+017,راتب عالي . .,/
9.58431868931764E+017,عشان كذا خطأ تحدد المنافسه في فئه دون فئه . . المبتعثين دون الداخل . . الداخل فيهم المميز و العادي و الفاشل والمبتعثين فيهم المميز و العادي والفاشل ومصدر المؤهل مو معيار مناسب عشان تقيس فيه الجداره . .,/
9.58430703317934E+017,الله يفرجها على الجميع . .,P
9.584293389527E+017,مو ايميل رسمي لأنه هذولا غالبا متعاطفين معانا و يحاولوا يساعدونا من داخل مؤسساتهم سواء حكوميه أو أهليه وما يبغوا ينعرفوا . . بس تأكدوا اني على الخاص آخذ معلوماتهم الشخصيه و اتحقق قبل نشر أي إعلان .,P
9.58428593893335E+017,حتى احنا مبتعثين مالقينا وظايف,N
9.58403203841843E+017,والوظائف الأكاديميه حاليا للإعاده ( البكالوريوس ) أو للأستاذ المساعد ومافوق . . ! ! ليس منطقيا أن يؤهل الماجستير وتصرف الدوله على تأهيلهم ويتاح المجال للبكالوريوس فقط في الوظائف الإعاده . . هنا المعنى الحقيقي للهدر ( طاقات وأموال ) . . الماجستير حلقه ضائعه بين الجامعات والتعليم العام .,N
9.5840092292055E+017,والدكتوراه عؤبال عندكوا,/
9.5839981729794E+017,العاطلون من حمله الماجستير والدكتوراه خريجي الجامعات المحليه لا مكان لكم . . لا في القطاع الخاص ولا الحكومي . . مهما بلغ الواحد منكم من مستويات الكفاءه و التميز . . ولازالت الجامعات المحليه تفتتح برامج للدراسات العليا وتخرج المزيد من العاطلين . .,N
9.58399812424163E+017,من حق الكليات الأهليه أن تحكم في مالها وتشترط مبتعثين . . لا يحق لنا أن نلومهم وقيادات الجامعات الحكوميه الذين يحكمون في المال العام والمؤسسات العامه فعلوا الشيء نفسه وقصروا التوظيف على المبتعثين . .,N
9.58397767847686E+017,هه,/
9.5837374759716E+017,افتحي موقع الوزاره وشوفي عدد غير السعوديين في الجامعات من محاضرين و معيدين و مدرسين لغه .,N
